block,signals,trade_days,total_return,final_nav,win_rate,avg_daily_ret
河北,698,311,684.626260292073,7.84626260292073,0.5241157556270096,0.7404467481035687
昨日涨停,792,311,648.4094683280896,7.484094683280896,0.5209003215434084,0.739684974814396
ST摘帽,464,231,469.70009371916734,5.697000937191674,0.5324675324675324,0.8558295196866625
混改,891,343,345.08848915037345,4.450884891503734,0.5306122448979592,0.4923917570120194
异质结电池HJT,740,254,341.04520965050347,4.4104520965050344,0.515748031496063,0.6861876905787494
央企改革,3919,480,314.30426356986516,4.143042635698651,0.5229166666666667,0.34185949605979665
新进指数成份股,292,174,301.2458733130872,4.012458733130872,0.5632183908045977,0.8626828133552272
有色铝,788,270,290.7456678176411,3.907456678176411,0.5222222222222223,0.5591088409532853
可控核聚变,1098,342,287.53470283662205,3.8753470283662206,0.5380116959064327,0.45276664553516116
高价股,987,329,276.95340303244006,3.7695340303244005,0.48632218844984804,0.49100953521318264
国产航母,423,192,274.175152383126,3.7417515238312595,0.578125,0.7673723648313494
拼多多,508,256,256.39952568953123,3.5639952568953124,0.52734375,0.5935384858630952
军工集团,1065,307,253.5712471009408,3.535712471009408,0.50814332247557,0.4778468026382614
智能建筑,134,105,243.4741936757351,3.434741936757351,0.45714285714285713,1.3415285714285714
运输业,814,306,241.34645427832217,3.4134645427832218,0.5392156862745098,0.44576136608489547
汽车黑匣子EDR,146,111,238.31554506777874,3.3831554506777874,0.5945945945945946,1.2123509223509226
江西,823,323,233.85682199720156,3.3385682199720157,0.5077399380804953,0.44696787311415803
消毒剂,619,268,231.1456096792116,3.311456096792116,0.5261194029850746,0.5172413347341964
农药,414,212,229.15407738616307,3.2915407738616307,0.5235849056603774,0.6179648307436182
航天军工,2597,429,227.28402725049216,3.2728402725049217,0.5174825174825175,0.3483232128790068
芯片设备,196,122,227.20634874243015,3.2720634874243015,0.5737704918032787,1.0735004553734062
央企国企改革,3917,474,226.42774608014906,3.2642774608014906,0.5253164556962026,0.29659799378765334
机械,639,277,221.44201177419487,3.2144201177419487,0.5306859205776173,0.4898138352321565
电池箔,251,135,219.09107831174967,3.1909107831174968,0.562962962962963,0.9190894586894588
独角兽,2620,450,215.18756469126154,3.1518756469126155,0.49333333333333335,0.3070743614594095
零售业,816,297,209.8697410966738,3.098697410966738,0.49158249158249157,0.45512270855731773
股权转让,5427,496,206.89098038285346,3.0689098038285345,0.5221774193548387,0.27817460045759995
小金属,2040,375,205.28727856897828,3.052872785689783,0.504,0.35534766919212524
富士康,1354,335,202.93593021811412,3.0293593021811414,0.48955223880597015,0.4134861487142516
航空发动机,1019,315,201.84398285208908,3.018439828520891,0.4984126984126984,0.4368890081318653
河南,1064,351,198.62745611485616,2.9862745611485617,0.5042735042735043,0.3715305855135755
直流输电,352,191,197.5370286002695,2.975370286002695,0.5026178010471204,0.6594861007230116
柔性屏(折叠屏),601,244,190.6374760530803,2.906374760530803,0.5,0.5360934558667653
中字头股票,1340,366,187.88419906420876,2.8788419906420875,0.5027322404371585,0.3346022838079456
节能减排,335,214,187.2819375155138,2.872819375155138,0.5373831775700935,0.570558077436582
2025中报预增,4097,479,182.7357738858292,2.827357738858292,0.5031315240083507,0.26241846710768596
氟化工,518,227,181.2887758742951,2.812887758742951,0.5550660792951542,0.5255607919980166
新冠治疗,907,283,180.7185146657436,2.807185146657436,0.5053003533568905,0.43942287930550245
军工,6211,485,178.37946990633228,2.7837946990633227,0.5092783505154639,0.2651405190853716
H股,1785,420,177.19543873862116,2.7719543873862116,0.5285714285714286,0.2844570557885829
电力物联网,1434,381,175.8684764177783,2.758684764177783,0.49343832020997375,0.33132321273197085
科创板对标,790,289,175.42754057180042,2.7542754057180043,0.47750865051903113,0.414113948378061
航空航天,1002,329,172.54271827190357,2.7254271827190357,0.5075987841945289,0.3776188308979298
台湾,459,243,170.98156148861074,2.7098156148861072,0.5102880658436214,0.4849223227323585
虫害防治,263,156,170.72941873324376,2.7072941873324377,0.5576923076923077,0.707528846153846
参股新股,1920,420,169.04748262398098,2.69047482623981,0.5,0.2782227631219358
光热发电,424,231,168.95383934351494,2.6895383934351496,0.4805194805194805,0.4982890812890814
机械装备,245,159,167.0022225979104,2.6700222259791038,0.5220125786163522,0.6976415094339623
超超临界发电,1013,315,163.2244409126419,2.632244409126419,0.5047619047619047,0.3602492100008196
三季报预增,1185,378,162.6728333936339,2.626728333936339,0.4973544973544973,0.3053675211105767
有色钛,244,140,162.56736717982014,2.6256736717982014,0.45,0.7915046918767508
GPU,116,75,162.5409846087849,2.625409846087849,0.5333333333333333,1.4473933333333335
柔性屏,1186,340,159.76969030061997,2.5976969030061996,0.4823529411764706,0.3700694512031581
重庆国企改革,133,102,159.39163579725576,2.5939163579725575,0.5294117647058824,1.0030258467023174
雷达,317,162,158.97234172377387,2.589723417237739,0.5493827160493827,0.6808330928330928
军工改制,244,131,157.78548321148628,2.5778548321148627,0.6030534351145038,0.812346300645919
宁夏,158,122,153.48262887740663,2.5348262887740662,0.5327868852459017,0.887841530054645
2024中报预增,7028,507,152.792796314572,2.52792796314572,0.52465483234714,0.21506065710139627
业绩爆雷,122,87,149.25935364805252,2.492593536480525,0.5287356321839081,1.1626206896551723
生物农药,377,203,148.12464126651727,2.4812464126651728,0.5270935960591133,0.5124335348559486
电磁屏蔽,263,154,147.39160371858623,2.4739160371858624,0.5714285714285714,0.6770299938157082
智能音箱,810,265,146.57005385997343,2.465700538599734,0.49433962264150944,0.4227653905713229
成渝特区,562,270,145.3552637256867,2.453552637256867,0.5,0.40489245149911823
MLED,739,273,144.953158837455,2.44953158837455,0.5128205128205128,0.4038051429644836
新冠特效药,289,153,140.25230804657457,2.4025230804657456,0.43790849673202614,0.6804118022688003
