day,code,block,return_pct
2025-01-02,002449,LED,-0.21
2025-01-02,300990,制冷空调设备,-7.22
2025-01-09,002918,瓷砖地板,-13.72
2025-01-10,002449,LED,-5.57
2025-01-10,600160,氟化工,-0.28
2025-01-10,603308,金属制品,0.0
2025-01-13,002449,LED,3.22
2025-01-13,301377,金属制品,4.8
2025-01-16,000777,金属制品,-1.52
2025-01-20,002164,金属制品,-0.87
2025-01-20,002843,金属制品,2.02
2025-01-20,002896,金属制品,0.41
2025-01-20,600601,印制电路板,-1.07
2025-01-21,300814,印制电路板,1.3
2025-01-21,603308,金属制品,11.32
2025-01-22,600592,金属制品,-0.37
2025-01-22,603667,金属制品,-3.37
2025-01-23,002463,印制电路板,-4.22
2025-01-23,002916,印制电路板,-1.08
2025-01-23,300476,印制电路板,-6.02
2025-01-23,300488,金属制品,5.65
2025-01-23,300718,金属制品,7.31
2025-01-23,600183,印制电路板,0.37
2025-01-23,600601,印制电路板,-1.5
2025-01-23,603228,印制电路板,-3.53
2025-01-27,300718,金属制品,-3.6
2025-01-27,300953,锂电池,0.06
2025-01-27,301210,锂电池,4.89
2025-01-27,301261,金属制品,2.81
2025-01-27,301368,金属制品,7.51
2025-01-27,603667,金属制品,-2.33
2025-01-27,603915,金属制品,-1.67
2025-02-05,300488,金属制品,8.93
2025-02-05,300910,其他化学制品,0.32
2025-02-05,603699,金属制品,2.6
2025-02-07,002843,金属制品,-4.26
2025-02-10,002126,底盘与发动机系统,-0.27
2025-02-10,300580,底盘与发动机系统,-0.11
2025-02-10,300718,金属制品,4.3
2025-02-10,300733,底盘与发动机系统,-3.22
2025-02-10,300817,金属制品,0.12
2025-02-10,301261,金属制品,3.31
2025-02-10,600114,金属制品,1.58
2025-02-10,600933,底盘与发动机系统,-0.56
2025-02-10,603667,金属制品,-2.83
2025-02-10,603986,数字芯片设计,-0.82
2025-02-10,688099,数字芯片设计,-3.27
2025-02-10,688123,数字芯片设计,-2.79
2025-02-11,001283,锂电池,2.33
2025-02-11,002213,数字芯片设计,4.01
2025-02-11,002448,底盘与发动机系统,2.76
2025-02-11,003005,IT服务,2.0
2025-02-11,300613,数字芯片设计,1.69
2025-02-11,300838,金属制品,0.47
2025-02-11,301208,IT服务,1.33
2025-02-11,301236,IT服务,-0.14
2025-02-11,301596,金属制品,5.66
2025-02-11,603121,底盘与发动机系统,0.84
2025-02-11,688039,IT服务,7.52
2025-02-11,688213,数字芯片设计,10.66
2025-02-11,688228,IT服务,9.57
2025-02-11,688343,IT服务,-0.48
2025-02-11,688416,数字芯片设计,1.71
2025-02-11,688620,数字芯片设计,1.94
2025-02-12,688244,横向通用软件,23.49
2025-02-12,688435,横向通用软件,3.39
2025-02-13,002965,其他汽车零部件,-0.72
2025-02-13,300170,IT服务,1.26
2025-02-13,300378,横向通用软件,8.41
2025-02-13,300488,金属制品,-2.82
2025-02-13,300532,IT服务,1.1
2025-02-13,300817,金属制品,-4.69
2025-02-13,300838,金属制品,0.81
2025-02-13,301186,其他汽车零部件,-2.06
2025-02-13,301596,金属制品,-4.0
2025-02-13,600718,IT服务,9.63
2025-02-13,600845,IT服务,11.05
2025-02-13,603171,IT服务,9.26
2025-02-13,603197,其他汽车零部件,2.51
2025-02-13,603966,能源及重型设备,-2.71
2025-02-13,688251,IT服务,-1.16
2025-02-14,000887,其他汽车零部件,0.84
2025-02-14,002649,IT服务,-6.8
2025-02-14,002765,其他汽车零部件,0.95
2025-02-14,300674,IT服务,8.84
2025-02-14,300766,横向通用软件,3.01
2025-02-14,300846,IT服务,-6.41
2025-02-14,600480,其他汽车零部件,2.18
2025-02-14,603915,金属制品,3.64
2025-02-17,002649,IT服务,-4.44
2025-02-17,300166,IT服务,-3.22
2025-02-17,300378,横向通用软件,-2.97
2025-02-17,300846,IT服务,1.96
2025-02-17,300895,IT服务,-2.6
2025-02-17,600588,横向通用软件,0.94
2025-02-17,603171,IT服务,-2.64
2025-02-17,603197,其他汽车零部件,-1.64
2025-02-17,603918,IT服务,13.94
2025-02-17,688158,IT服务,5.93
2025-02-17,688225,横向通用软件,-5.19
2025-02-17,688228,IT服务,-2.37
2025-02-17,688244,横向通用软件,-9.16
2025-02-17,688258,IT服务,4.19
2025-02-17,688316,IT服务,-1.28
2025-02-18,000938,IT服务,1.58
2025-02-18,002212,横向通用软件,0.56
2025-02-18,002368,IT服务,13.11
2025-02-18,002373,IT服务,1.63
2025-02-18,002649,IT服务,1.0
2025-02-18,002777,IT服务,1.66
2025-02-18,300017,IT服务,-0.45
2025-02-18,300078,IT服务,0.22
2025-02-18,300096,IT服务,0.0
2025-02-18,300166,IT服务,1.75
2025-02-18,300168,IT服务,0.75
2025-02-18,300212,IT服务,3.49
2025-02-18,300271,IT服务,1.66
2025-02-18,300378,横向通用软件,-0.05
2025-02-18,300674,IT服务,11.54
2025-02-18,300768,横向通用软件,1.7
2025-02-18,300816,其他汽车零部件,1.85
2025-02-18,300872,IT服务,4.03
2025-02-18,301085,IT服务,1.92
2025-02-18,301128,其他专用设备,3.25
2025-02-18,600718,IT服务,0.34
2025-02-18,600756,IT服务,1.15
