day,code,block,return_pct
2024-01-02,605118,2025中报预增,1.42
2024-01-03,002395,2025中报预增,1.73
2024-01-04,605118,2025中报预增,-5.06
2024-01-09,600593,元宇宙,-7.95
2024-01-19,603628,回购增持再贷款,4.27
2024-01-23,003027,2025中报预增,-18.69
2024-01-29,600648,回购增持再贷款,0.66
2024-02-05,600639,回购增持再贷款,-2.36
2024-02-29,301138,机器人,-7.31
2024-03-04,000723,无人驾驶,-0.57
2024-03-04,002281,无人驾驶,-1.84
2024-03-06,000628,基金重仓,-2.8
2024-03-11,002156,基金重仓,1.85
2024-03-11,002916,基金重仓,-3.14
2024-03-12,002281,芯片,-9.07
2024-03-14,000099,无人机,3.56
2024-03-18,002085,无人机,4.57
2024-03-19,603580,消费电子,10.33
2024-03-20,003019,深股通,-0.04
2024-03-20,603580,消费电子,1.59
2024-03-21,603327,消费电子,4.65
2024-03-22,002575,创投,-3.38
2024-03-22,300542,深股通,-3.47
2024-03-22,605277,消费电子,-15.33
2024-03-25,002213,创投,-3.85
2024-03-25,002343,创投,-3.09
2024-03-25,300133,教育,-4.69
2024-03-25,300654,教育,-3.28
2024-03-25,301369,创投,-3.81
2024-03-26,603580,台湾,4.23
2024-03-27,000680,深股通,7.86
2024-03-27,002151,深股通,8.24
2024-03-27,603037,次新股,23.93
2024-04-01,000603,深股通,7.64
2024-04-01,603663,次新股,10.03
2024-04-02,000100,深股通,0.4
2024-04-02,001288,深股通,0.09
2024-04-03,002769,周期,-10.01
2024-04-08,000506,深股通,-1.64
2024-04-08,603006,特斯拉,-10.01
2024-04-09,000751,深股通,-4.37
2024-04-09,002246,深股通,2.68
2024-04-09,601069,富时罗素,-4.69
2024-04-10,002167,深股通,-2.47
2024-04-10,300127,深股通,-0.81
2024-04-10,301238,深股通,-4.0
2024-04-10,600094,富时罗素,-0.51
2024-04-11,001696,深股通,1.65
2024-04-11,603663,次新股,-7.31
2024-04-12,000506,深股通,-9.94
2024-04-12,300079,深股通,-10.98
2024-04-12,300641,深股通,6.02
2024-04-15,000603,富时罗素,-6.55
2024-04-18,603579,次新股,-0.45
2024-04-19,000099,飞行汽车,-12.04
2024-04-19,002073,tmt,-1.41
2024-04-24,002590,AEB,-8.14
2024-04-30,002085,商业航天（航天航空）,2.46
2024-04-30,003029,商业航天（航天航空）,3.97
2024-05-06,603232,次新股,0.57
2024-05-07,603009,特斯拉,-3.51
2024-05-08,603678,商业航天（航天航空）,5.52
2024-05-09,000422,化工化纤,0.57
2024-05-09,600796,污水处理,-3.78
2024-05-13,000990,化工化纤,-0.8
2024-05-13,603823,化工化纤,4.59
2024-05-15,600869,锂电池,-2.39
2024-05-16,002246,商业航天,10.79
2024-05-16,300641,锂电池,-2.46
2024-05-17,603823,锂电池,8.96
2024-05-20,002791,垃圾分类,2.74
2024-05-20,300542,商业航天,2.6
2024-05-20,603516,航空航天,1.03
2024-05-21,000697,商业航天（航天航空）,2.92
2024-05-21,300159,商业航天,4.59
2024-05-24,301366,商业航天,-4.82
2024-05-27,002201,商业航天,0.37
2024-05-30,002501,新能源汽车,-7.38
2024-05-31,002297,商业航天,-5.73
2024-06-21,300462,充电桩,0.99
2024-07-01,002600,充电桩,-3.37
2024-07-03,603829,智能电网,-3.26
2024-07-12,002947,江苏,-2.96
2024-07-15,301007,专精特新,-2.14
2024-07-17,300207,第三代半导体,1.84
2024-07-17,688256,汽车芯片,2.0
2024-07-24,300960,充电桩,-6.61
2024-07-24,603686,充电桩,6.52
2024-07-26,301226,专精特新,-4.39
2024-07-29,600635,充电桩,10.05
2024-07-29,600841,汽车芯片,-8.94
2024-08-05,600386,动力电池回收,-10.85
2024-08-05,600561,物业管理,-14.81
2024-08-06,600611,富时罗素,-2.55
2024-08-07,000679,壳公司,5.59
2024-08-07,000953,壳公司,-0.51
2024-08-16,600326,周期,0.17
2024-08-16,600686,沪股通,-4.08
2024-08-20,002370,医药,8.97
2024-08-21,000062,富时罗素,9.98
2024-08-21,300328,周期,1.43
2024-08-28,000062,创投,1.04
2024-08-28,603626,富时罗素,10.05
2024-08-29,002428,富时罗素,1.78
2024-08-30,002302,富时罗素,-16.58
2024-09-02,300043,富时罗素,-1.54
2024-09-03,000062,创投,7.97
2024-09-03,300238,创投,-3.2
2024-09-03,600645,医药,-0.89
2024-09-05,000062,人民币贬值受益,12.93
2024-09-05,603306,芯片,19.67
2024-09-05,603626,人民币贬值受益,11.77
2024-09-09,000062,半导体,-1.98
2024-09-09,603123,芯片,-19.0
2024-09-12,603032,半导体,-1.36
2024-09-18,000566,医疗器械,-7.5
2024-09-18,002183,深圳本地股,3.93
2024-09-18,600198,元器件,9.96
2024-09-18,603398,医疗器械,-5.78
2024-09-20,000948,智慧城市,-13.78
2024-09-23,000158,智慧城市,-14.2
2024-09-24,600203,元器件,0.88
2024-09-26,002961,2024年报预增,8.0
2024-09-27,600510,储能,12.24
2024-09-27,600830,2024年报预增,14.36
2024-09-27,603991,资产重组,14.36
2024-09-30,000783,大金融,-3.27
2024-09-30,002868,股权转让,9.1
2024-09-30,300033,浙江,-5.16
2024-09-30,300803,大金融,2.25
2024-10-08,000736,股权转让,-14.0
2024-10-08,002044,浙江,-6.29
2024-10-08,300061,股权转让,4.46
2024-10-08,600668,浙江,-7.01
2024-10-09,000004,一体机,-5.06
2024-10-09,000409,2024年报预增,-4.81
2024-10-09,000532,2024年报预增,-4.21
2024-10-09,000670,资产重组,-7.52
2024-10-09,000762,股权转让,-2.32
2024-10-09,000936,2024年报预增,-1.06
2024-10-09,000977,一体机,-6.78
2024-10-09,001236,2024年报预增,-12.77
2024-10-09,001256,浙江,3.01
2024-10-09,001287,股权转让,-1.66
2024-10-09,001339,2024年报预增,-9.09
2024-10-09,002152,一体机,-4.67
2024-10-09,002245,2024年报预增,0.22
2024-10-09,002247,浙江,-3.55
2024-10-09,002335,一体机,-3.94
2024-10-09,002376,2024年报预增,-1.69
2024-10-09,002392,股权转让,-2.23
2024-10-09,002413,一体机,0.0
2024-10-09,002456,股权转让,-3.03
2024-10-09,002460,股权转让,-2.56
2024-10-09,002550,2024年报预增,-1.9
2024-10-09,002579,股权转让,-0.25
2024-10-09,002617,2024年报预增,-2.88
2024-10-09,002643,股权转让,-3.61
2024-10-09,002703,2024年报预增,-1.58
2024-10-09,002729,2024年报预增,-4.52
2024-10-09,002860,浙江,-1.97
2024-10-09,002875,股权转让,-14.06
2024-10-09,002901,2024年报预增,-2.06
2024-10-09,002926,2024年报预增,-6.31
2024-10-09,002961,2024年报预增,-7.57
2024-10-09,002970,2024年报预增,-5.49
2024-10-09,300014,股权转让,-2.34
2024-10-09,300027,浙江,-3.56
2024-10-09,300065,股权转让,-1.62
2024-10-09,300067,股权转让,-6.49
2024-10-09,300100,2024年报预增,-1.69
2024-10-09,300111,浙江,-0.65
2024-10-09,300115,2024年报预增,0.49
2024-10-09,300203,浙江,2.18
2024-10-09,300237,股权转让,-4.04
2024-10-09,300242,股权转让,-2.11
2024-10-09,300250,浙江,-7.08
2024-10-09,300277,浙江,-5.09
2024-10-09,300308,2024年报预增,-5.46
2024-10-09,300343,2024年报预增,-3.4
2024-10-09,300353,股权转让,-3.28
2024-10-09,300394,2024年报预增,-6.94
2024-10-09,300398,2024年报预增,-5.42
2024-10-09,300419,股权转让,-2.75
2024-10-09,300454,一体机,-8.9
2024-10-09,300469,浙江,-4.64
2024-10-09,300476,2024年报预增,-6.36
2024-10-09,300502,2024年报预增,-5.1
2024-10-09,300519,浙江,2.78
2024-10-09,300534,股权转让,-0.76
2024-10-09,300588,股权转让,1.84
2024-10-09,300608,股权转让,-11.41
2024-10-09,300637,浙江,-6.17
2024-10-09,300746,一体机,-10.2
2024-10-09,300766,浙江,-7.47
2024-10-09,300784,浙江,-1.38
2024-10-09,300857,2024年报预增,-4.39
2024-10-09,300868,股权转让,-1.76
2024-10-09,300872,一体机,-10.76
2024-10-09,300969,浙江,-4.18
2024-10-09,300972,股权转让,-5.65
2024-10-09,300976,2024年报预增,-4.58
2024-10-09,300996,2024年报预增,-7.48
2024-10-09,301085,一体机,-7.9
2024-10-09,301095,浙江,-10.09
2024-10-09,301099,2024年报预增,-1.74
2024-10-09,301178,股权转让,7.02
2024-10-09,301205,2024年报预增,-4.04
2024-10-09,301269,股权转让,-8.83
2024-10-09,301550,浙江,-9.07
2024-10-09,600095,股权转让,-6.8
2024-10-09,600100,一体机,-2.01
2024-10-09,600110,股权转让,-1.32
2024-10-09,600208,浙江,-9.86
2024-10-09,600318,股权转让,-10.71
2024-10-09,600340,股权转让,-1.41
2024-10-09,600353,一体机,-3.11
2024-10-09,600571,浙江,-6.12
2024-10-09,600643,股权转让,-8.24
2024-10-09,600765,股权转让,-3.98
2024-10-09,600830,2024年报预增,-14.62
2024-10-09,600850,一体机,-4.67
2024-10-09,600864,2024年报预增,-8.26
2024-10-09,600881,股权转让,-6.98
2024-10-09,600927,浙江,-5.44
2024-10-09,601198,2024年报预增,-6.24
2024-10-09,601865,浙江,-2.22
2024-10-09,603025,一体机,-1.64
2024-10-09,603031,股权转让,-12.38
2024-10-09,603083,2024年报预增,-4.08
2024-10-09,603093,浙江,-6.16
2024-10-09,603236,2024年报预增,1.21
2024-10-09,603496,一体机,6.32
2024-10-09,603595,浙江,-2.02
2024-10-09,603605,浙江,2.53
2024-10-09,603607,浙江,-3.01
2024-10-09,603636,一体机,-6.16
2024-10-09,603681,2024年报预增,-1.49
2024-10-09,603799,浙江,-2.48
2024-10-09,603856,股权转让,-4.88
2024-10-09,603931,浙江,-2.6
2024-10-09,688049,2024年报预增,-3.05
2024-10-09,688088,2024年报预增,-7.66
2024-10-09,688141,浙江,-5.44
2024-10-09,688152,一体机,1.76
2024-10-09,688225,一体机,-7.35
2024-10-09,688228,一体机,-8.24
2024-10-09,688249,2024年报预增,-8.09
2024-10-09,688290,浙江,-3.41
2024-10-09,688327,一体机,-11.43
2024-10-09,688348,浙江,-11.72
2024-10-09,688582,股权转让,-2.08
2024-10-09,688590,一体机,-8.06
2024-10-09,688591,2024年报预增,-5.56
2024-10-09,688701,浙江,0.18
2024-10-10,002178,机器人,-0.66
2024-10-10,300377,一体机,10.0
2024-10-10,600187,股权转让,-3.18
2024-10-10,600390,大金融,2.6
2024-10-11,000551,大金融,-4.72
2024-10-14,000595,商誉减值,-8.33
2024-10-15,002094,2024年报预增,-12.4
2024-10-15,300972,股权转让,1.07
2024-10-15,600322,股权转让,5.88
2024-10-15,603038,股权转让,10.0
2024-10-16,002457,2024年报预增,-18.71
2024-10-17,300540,2024年报预增,-1.42
2024-10-17,600641,股权转让,2.92
2024-10-21,000004,一体机,-5.17
2024-10-21,002456,无人驾驶,-8.03
2024-10-21,300046,股权转让,3.08
2024-10-21,300542,区块链储备,-18.95
2024-10-21,600678,无人驾驶,-0.12
2024-10-22,002268,区块链储备,-0.87
2024-10-22,002628,无人驾驶,9.96
2024-10-22,002725,股权转让,2.94
2024-10-22,300130,无人驾驶,-5.75
2024-10-23,002082,股权转让,0.55
2024-10-23,002583,芯片,7.37
2024-10-23,300046,股权转让,7.72
2024-10-23,600460,芯片,3.54
2024-10-24,000793,ST股,-6.2
2024-10-24,600764,无人驾驶,5.53
2024-10-24,603776,无人驾驶,4.32
2024-10-25,002529,ST股,13.8
2024-10-25,002725,股权转让,3.25
2024-10-25,301297,股权转让,-9.32
2024-10-25,603038,股权转让,11.1
2024-10-28,002713,ST股,-8.7
2024-10-28,600579,股权转让,-12.85
2024-10-28,600696,ST股,0.41
2024-10-28,600724,股权转让,-10.19
2024-10-28,601727,参股新股,2.98
2024-10-28,603038,股权转让,-12.87
2024-10-28,603958,股权转让,18.58
2024-10-28,688293,股权转让,-10.87
2024-10-29,000518,ST股,0.37
2024-10-29,002628,股权转让,10.0
2024-10-29,002685,光伏,16.96
2024-10-29,002693,ST股,0.66
2024-10-29,600082,股权转让,-1.75
2024-10-29,600615,光伏,1.96
