code,block,signal_date,buy_date,sell_date,recent_peak,signal_close,pullback_pct,vol_vs_ma,buy_price,sell_price,return_pct
600269,高速公路,2025-01-03,2025-01-06,2025-01-07,5.76,5.34,7.29,1.03,5.32,5.33,0.19
600548,高速公路,2025-01-03,2025-01-06,2025-01-07,13.77,13.17,4.36,1.01,13.08,13.23,1.15
600350,高速公路,2025-01-03,2025-01-06,2025-01-07,10.51,9.9,5.8,1.02,9.91,9.83,-0.81
000333,东盟博览会,2025-01-15,2025-01-16,2025-01-17,79.0,73.82,6.56,0.91,73.99,74.08,0.12
000063,SoC芯片,2025-01-16,2025-01-17,2025-01-20,42.58,39.96,6.15,0.98,39.55,41.81,5.71
603338,工程机械,2025-01-20,2025-01-21,2025-01-22,71.2,68.88,3.26,1.62,69.35,68.7,-0.94
605020,业绩增长,2025-01-21,2025-01-22,2025-01-23,22.49,21.38,4.94,2.26,21.36,21.25,-0.51
603986,RISC,2025-01-21,2025-01-22,2025-01-23,139.8,132.1,5.51,1.21,130.0,137.0,5.38
600066,出海龙头,2025-01-22,2025-01-23,2025-01-24,29.09,28.74,1.2,1.1,28.74,28.32,-1.46
603009,丝杠,2025-01-22,2025-01-23,2025-01-24,52.17,52.15,0.04,0.83,52.16,48.6,-6.83
002463,出海龙头,2025-01-22,2025-01-23,2025-01-24,46.15,45.58,1.24,1.97,45.73,44.58,-2.51
689009,出海龙头,2025-01-23,2025-01-24,2025-01-27,54.73,53.18,2.83,0.95,53.0,50.97,-3.83
688322,ASIC芯片,2025-01-23,2025-01-24,2025-01-27,53.86,51.4,4.57,1.25,51.11,53.99,5.63
603296,中国AI 50,2025-02-05,2025-02-06,2025-02-07,80.91,78.0,3.6,1.25,77.63,78.79,1.49
603009,人形机器人,2025-02-06,2025-02-07,2025-02-10,54.8,53.27,2.79,1.09,52.49,50.5,-3.79
300432,人形机器人,2025-02-06,2025-02-07,2025-02-10,18.52,18.35,0.92,1.47,18.3,18.35,0.27
002139,人形机器人,2025-02-06,2025-02-07,2025-02-10,15.65,15.35,1.92,1.88,15.3,15.35,0.33
002815,人形机器人,2025-02-06,2025-02-07,2025-02-10,11.68,11.68,0.0,1.25,11.64,11.55,-0.77
300433,人形机器人,2025-02-06,2025-02-07,2025-02-10,27.48,27.13,1.27,1.26,27.13,27.3,0.63
688678,丝杠,2025-02-07,2025-02-10,2025-02-11,18.77,18.44,1.76,3.62,18.0,18.38,2.11
300918,灵巧手,2025-02-07,2025-02-10,2025-02-11,12.87,12.11,5.91,4.44,11.87,12.0,1.1
002929,一体机,2025-02-13,2025-02-14,2025-02-17,51.93,50.2,3.33,7.27,48.41,53.0,9.48
603716,AI医疗,2025-02-18,2025-02-19,2025-02-20,11.74,11.06,5.79,4.51,9.96,10.48,5.22
300433,灵巧手,2025-02-24,2025-02-25,2025-02-26,32.05,29.88,6.77,1.66,29.3,29.7,1.37
600710,发电机,2025-02-24,2025-02-25,2025-02-26,10.88,10.5,3.49,4.97,10.38,10.29,-0.87
003021,灵巧手,2025-02-25,2025-02-26,2025-02-27,143.81,143.58,0.16,1.33,141.71,156.98,10.78
603667,丝杠,2025-02-25,2025-02-26,2025-02-27,49.64,48.36,2.58,1.26,48.5,52.16,7.55
