day,code,buy_price,sell_price,return_pct
2024-05-20,000001,11.53,11.56,0.26
2025-06-30,000001,12.17,12.31,1.15
2025-07-08,000001,12.84,12.82,-0.16
2024-02-26,000002,10.19,9.94,-2.45
2024-02-28,000002,10.16,9.85,-3.05
2024-03-04,000002,9.7,9.32,-3.92
2024-03-06,000002,9.45,9.31,-1.48
2024-03-07,000002,9.37,9.21,-1.71
2024-03-08,000002,9.24,9.29,0.54
2024-03-13,000002,9.87,9.64,-2.33
2024-03-19,000002,9.43,9.3,-1.38
2024-03-22,000002,9.37,9.28,-0.96
2024-04-19,000002,6.85,6.67,-2.63
2024-05-08,000002,7.49,7.24,-3.34
2024-05-13,000002,7.49,7.42,-0.93
2025-02-25,000002,7.86,7.71,-1.91
2025-02-28,000002,8.03,7.75,-3.49
2025-03-10,000002,7.57,7.4,-2.25
2025-03-13,000002,7.44,7.37,-0.94
2025-03-17,000002,7.73,7.57,-2.07
2025-03-18,000002,7.59,7.49,-1.32
2025-03-19,000002,7.52,7.45,-0.93
2025-03-20,000002,7.49,7.4,-1.2
2025-05-15,000002,6.92,6.8,-1.73
2025-06-26,000002,6.44,6.39,-0.78
2025-07-04,000002,6.52,6.44,-1.23
2025-07-14,000002,6.79,6.64,-2.21
2025-07-23,000002,6.83,6.7,-1.9
2025-07-31,000002,6.68,6.44,-3.59
2025-08-08,000002,6.47,6.48,0.15
2025-08-13,000002,6.5,6.46,-0.62
2025-08-14,000002,6.55,6.43,-1.83
2025-08-19,000002,6.61,6.52,-1.36
2025-08-27,000002,7.01,6.75,-3.71
2025-10-27,000002,6.38,6.32,-0.94
2025-10-28,000002,6.33,6.26,-1.11
2025-10-30,000002,6.32,6.24,-1.27
2026-01-07,000002,4.86,4.73,-2.67
2026-01-12,000002,4.93,4.87,-1.22
2026-01-13,000002,4.97,4.82,-3.02
2026-01-14,000002,4.85,4.71,-2.89
2024-03-06,000003,265.98,264.2,-0.67
2024-10-09,000003,277.37,273.95,-1.23
2025-08-29,000004,11.85,10.86,-8.35
2024-05-27,000007,4.73,4.93,4.23
2025-11-04,000007,8.83,8.89,0.68
2024-02-28,000009,12.25,11.53,-5.88
2024-03-04,000009,12.08,11.74,-2.81
2024-03-05,000009,11.74,11.44,-2.56
2024-03-07,000009,11.55,11.26,-2.51
2024-03-12,000009,11.87,11.67,-1.68
2024-03-13,000009,11.68,11.39,-2.48
2024-03-19,000009,11.4,11.32,-0.7
2024-03-20,000009,11.35,11.33,-0.18
2024-04-19,000009,10.58,10.27,-2.93
2024-04-30,000009,10.66,10.69,0.28
2024-05-08,000009,10.7,10.65,-0.47
2024-05-10,000009,10.81,10.54,-2.5
2024-05-13,000009,10.58,10.5,-0.76
2024-05-21,000009,10.4,10.27,-1.25
2025-02-25,000009,8.77,8.69,-0.91
2025-02-27,000009,8.91,8.73,-2.02
2025-02-28,000009,8.77,8.63,-1.6
2025-03-12,000009,8.64,8.56,-0.93
2025-03-13,000009,8.61,8.5,-1.28
2025-03-17,000009,8.71,8.68,-0.34
2025-03-18,000009,8.72,8.64,-0.92
2025-03-19,000009,8.64,8.56,-0.93
2025-06-27,000009,9.04,8.8,-2.65
2025-07-04,000009,9.02,8.89,-1.44
2025-07-09,000009,8.92,8.76,-1.79
2025-07-14,000009,8.92,8.85,-0.78
2025-07-21,000009,8.85,8.79,-0.68
2025-07-23,000009,9.06,8.9,-1.77
2025-07-30,000009,9.29,9.13,-1.72
2025-07-31,000009,9.25,9.08,-1.84
2025-08-13,000009,9.22,9.12,-1.08
2025-08-14,000009,9.13,8.92,-2.3
2025-08-19,000009,9.43,9.31,-1.27
2025-08-26,000009,9.6,9.55,-0.52
2025-08-27,000009,9.7,9.39,-3.2
2025-09-18,000009,10.74,10.41,-3.07
2025-09-19,000009,10.56,10.42,-1.33
2025-09-30,000009,12.79,12.57,-1.72
2025-10-09,000009,12.75,12.46,-2.27
2025-10-10,000009,12.53,11.66,-6.94
2025-12-29,000009,10.21,9.92,-2.84
2026-01-07,000009,10.27,10.03,-2.34
2026-01-12,000009,10.29,10.26,-0.29
2026-01-13,000009,10.34,10.08,-2.51
2024-03-05,000010,2.32,2.25,-3.02
2024-03-07,000010,2.39,2.28,-4.6
2024-04-19,000010,1.92,1.88,-2.08
2024-05-08,000010,2.05,1.98,-3.41
2024-05-10,000010,2.03,1.95,-3.94
2024-05-13,000010,1.97,1.87,-5.08
2024-05-20,000010,2.07,2.04,-1.45
2024-05-21,000010,2.04,1.95,-4.41
2025-03-18,000010,3.1,3.06,-1.29
2025-05-15,000010,2.9,2.84,-2.07
2025-07-25,000010,3.59,3.41,-5.01
2025-07-30,000010,3.46,3.44,-0.58
2025-08-28,000010,4.77,4.69,-1.68
2025-09-19,000010,4.8,4.64,-3.33
2025-09-26,000010,4.33,4.21,-2.77
2025-11-19,000010,3.8,3.82,0.53
2024-02-28,000011,8.66,8.16,-5.77
2024-03-04,000011,8.4,8.17,-2.74
2024-03-13,000011,8.5,8.3,-2.35
2024-03-19,000011,8.4,8.33,-0.83
