lookback,limit_up_days,newhigh_vol_max,rolling_days,top_n,A_ret,A_dd,C_ret,C_dd,D_ret,D_dd,D_n
20,3,1.5,10,3,48.8,26.9,60.7,24.1,-18.5,53.6,2744
20,3,1.5,10,5,48.8,26.9,60.7,24.1,-37.1,53.7,4324
20,3,1.5,10,8,48.8,26.9,60.7,24.1,-43.5,53.3,6383
20,3,1.5,20,3,48.8,26.9,60.7,24.1,111.9,27.8,2773
20,3,1.5,20,5,48.8,26.9,60.7,24.1,59.7,27.1,4548
20,3,1.5,20,8,48.8,26.9,60.7,24.1,57.1,30.8,6883
20,3,1.5,30,3,48.8,26.9,60.7,24.1,17.0,41.6,2981
20,3,1.5,30,5,48.8,26.9,60.7,24.1,-8.9,44.6,4608
20,3,1.5,30,8,48.8,26.9,60.7,24.1,16.2,36.0,6677
20,3,2.0,10,3,71.5,27.1,81.9,22.9,-38.3,46.7,2830
20,3,2.0,10,5,71.5,27.1,81.9,22.9,10.7,34.7,4668
20,3,2.0,10,8,71.5,27.1,81.9,22.9,-3.7,35.5,6938
20,3,2.0,20,3,71.5,27.1,81.9,22.9,-30.5,31.6,2832
20,3,2.0,20,5,71.5,27.1,81.9,22.9,2.9,30.3,4686
20,3,2.0,20,8,71.5,27.1,81.9,22.9,23.0,35.7,7450
20,3,2.0,30,3,71.5,27.1,81.9,22.9,62.1,31.7,2790
20,3,2.0,30,5,71.5,27.1,81.9,22.9,42.1,34.1,4717
20,3,2.0,30,8,71.5,27.1,81.9,22.9,165.4,28.4,7636
20,3,3.0,10,3,77.5,26.0,85.0,21.4,0.5,42.3,3067
20,3,3.0,10,5,77.5,26.0,85.0,21.4,-18.9,42.0,4936
20,3,3.0,10,8,77.5,26.0,85.0,21.4,23.2,32.6,7457
20,3,3.0,20,3,77.5,26.0,85.0,21.4,39.7,22.0,2976
20,3,3.0,20,5,77.5,26.0,85.0,21.4,13.3,32.4,4825
20,3,3.0,20,8,77.5,26.0,85.0,21.4,73.2,30.6,7638
20,3,3.0,30,3,77.5,26.0,85.0,21.4,4.3,39.2,2813
20,3,3.0,30,5,77.5,26.0,85.0,21.4,122.1,31.9,4792
20,3,3.0,30,8,77.5,26.0,85.0,21.4,89.1,25.5,7996
20,5,1.5,10,3,59.6,24.0,71.9,21.8,-34.6,51.8,2697
20,5,1.5,10,5,59.6,24.0,71.9,21.8,-10.8,40.1,4243
20,5,1.5,10,8,59.6,24.0,71.9,21.8,6.2,29.7,6188
20,5,1.5,20,3,59.6,24.0,71.9,21.8,76.9,24.5,2742
20,5,1.5,20,5,59.6,24.0,71.9,21.8,107.4,29.1,4592
20,5,1.5,20,8,59.6,24.0,71.9,21.8,57.6,34.5,6751
20,5,1.5,30,3,59.6,24.0,71.9,21.8,159.7,25.4,3105
20,5,1.5,30,5,59.6,24.0,71.9,21.8,97.5,25.0,4697
20,5,1.5,30,8,59.6,24.0,71.9,21.8,68.7,28.7,6506
20,5,2.0,10,3,80.1,23.0,91.4,20.4,-12.5,39.9,2778
20,5,2.0,10,5,80.1,23.0,91.4,20.4,-3.9,42.7,4395
20,5,2.0,10,8,80.1,23.0,91.4,20.4,3.3,29.7,6655
20,5,2.0,20,3,80.1,23.0,91.4,20.4,46.2,41.0,3063
20,5,2.0,20,5,80.1,23.0,91.4,20.4,35.8,28.1,4786
20,5,2.0,20,8,80.1,23.0,91.4,20.4,48.3,29.9,7236
20,5,2.0,30,3,80.1,23.0,91.4,20.4,40.6,36.1,3219
20,5,2.0,30,5,80.1,23.0,91.4,20.4,37.8,40.5,5133
20,5,2.0,30,8,80.1,23.0,91.4,20.4,29.0,42.7,7702
20,5,3.0,10,3,85.1,22.0,90.8,18.8,-8.0,46.6,3036
20,5,3.0,10,5,85.1,22.0,90.8,18.8,31.9,33.8,4794
20,5,3.0,10,8,85.1,22.0,90.8,18.8,74.7,33.4,7150
20,5,3.0,20,3,85.1,22.0,90.8,18.8,68.2,29.3,3171
20,5,3.0,20,5,85.1,22.0,90.8,18.8,90.1,34.3,4771
20,5,3.0,20,8,85.1,22.0,90.8,18.8,68.6,26.9,7339
20,5,3.0,30,3,85.1,22.0,90.8,18.8,39.1,46.3,3165
20,5,3.0,30,5,85.1,22.0,90.8,18.8,-22.7,45.6,5347
20,5,3.0,30,8,85.1,22.0,90.8,18.8,-11.4,43.3,8194
20,10,1.5,10,3,59.7,23.2,68.8,20.5,0.9,35.5,2803
20,10,1.5,10,5,59.7,23.2,68.8,20.5,20.1,31.3,4266
20,10,1.5,10,8,59.7,23.2,68.8,20.5,27.1,31.5,6236
20,10,1.5,20,3,59.7,23.2,68.8,20.5,6.8,37.3,2699
20,10,1.5,20,5,59.7,23.2,68.8,20.5,40.9,26.7,4229
20,10,1.5,20,8,59.7,23.2,68.8,20.5,30.2,25.2,6516
20,10,1.5,30,3,59.7,23.2,68.8,20.5,24.8,25.4,3001
20,10,1.5,30,5,59.7,23.2,68.8,20.5,60.9,23.7,4506
20,10,1.5,30,8,59.7,23.2,68.8,20.5,63.3,27.0,6665
20,10,2.0,10,3,73.4,21.9,83.4,19.8,11.0,38.2,2838
20,10,2.0,10,5,73.4,21.9,83.4,19.8,-7.3,29.4,4700
20,10,2.0,10,8,73.4,21.9,83.4,19.8,33.7,28.7,6962
20,10,2.0,20,3,73.4,21.9,83.4,19.8,-33.8,35.9,2915
20,10,2.0,20,5,73.4,21.9,83.4,19.8,63.0,27.5,4950
20,10,2.0,20,8,73.4,21.9,83.4,19.8,54.9,30.3,7416
20,10,2.0,30,3,73.4,21.9,83.4,19.8,62.3,37.8,3353
20,10,2.0,30,5,73.4,21.9,83.4,19.8,54.1,41.2,5150
20,10,2.0,30,8,73.4,21.9,83.4,19.8,67.7,44.6,7652
20,10,3.0,10,3,79.6,21.4,84.2,18.3,25.0,30.3,3138
20,10,3.0,10,5,79.6,21.4,84.2,18.3,23.0,31.4,4918
20,10,3.0,10,8,79.6,21.4,84.2,18.3,49.7,25.9,7433
20,10,3.0,20,3,79.6,21.4,84.2,18.3,12.5,41.1,3060
