day,code,block,return_pct
2024-01-03,600792,能源加工,-5.27
2024-01-05,002577,王者荣耀,0.95
2024-01-10,603798,能源加工,-8.21
2024-01-11,002523,冰雪产业,-4.89
2024-01-11,002659,冰雪产业,-3.33
2024-01-12,002606,大连自贸区,-0.92
2024-01-15,600593,大连自贸区,7.65
2024-01-16,600593,公共设施,-7.83
2024-01-16,603199,公共设施,-13.33
2024-01-17,002103,王者荣耀,3.41
2024-01-17,603099,公共设施,-1.81
2024-01-19,002033,公共设施,-5.85
2024-01-19,002059,公共设施,-5.33
2024-01-22,002731,珠宝饰品,-7.56
2024-01-23,600053,其他金融,17.16
2024-01-24,002423,其他金融,10.01
2024-01-24,600053,其他金融,4.85
2024-01-24,600318,其他金融,-9.73
2024-01-24,600390,其他金融,2.04
2024-01-24,600643,其他金融,-0.37
2024-01-24,600830,其他金融,10.02
2024-01-25,002401,上海自由贸易港,-2.72
2024-01-25,600097,进口博览会,-10.0
2024-01-25,600284,上海自由贸易港,-1.5
2024-01-25,600648,上海自由贸易港,4.43
2024-01-25,600663,上海自由贸易港,-4.95
2024-01-25,600692,上海自由贸易港,1.38
2024-01-25,600708,上海自由贸易港,14.58
2024-01-25,601857,两桶油改革,4.22
2024-01-26,000985,两桶油改革,-9.58
2024-01-26,600622,沪自贸区,-23.19
2024-01-26,600648,上海自由贸易港,-15.36
2024-01-26,600708,上海自由贸易港,-0.73
2024-01-26,603329,上海自由贸易港,-10.65
2024-01-29,600675,沪自贸区,-12.79
2024-01-29,600689,上海自由贸易港,-13.0
2024-01-29,600708,上海自由贸易港,-13.19
2024-02-02,600639,上海自由贸易港,-9.98
2024-02-06,002080,中国建材集团,7.25
2024-02-07,000636,沪台通,11.44
2024-02-07,002384,光通信设备,-0.64
2024-02-07,600449,中国建材集团,4.51
2024-02-07,600885,农村电网,-2.59
2024-02-08,000636,沪台通,-7.3
2024-02-08,002996,再生金属,17.82
2024-02-08,601388,再生金属,0.0
2024-02-08,603002,沪台通,3.99
2024-02-19,000045,偏光片,-0.9
2024-02-19,002463,沪台通,-4.7
2024-02-19,600229,VR平台,-1.12
2024-02-20,002354,Sora AI视频,-1.35
2024-02-20,300364,短视频,3.13
2024-02-20,603000,短视频,1.66
2024-02-21,000908,玻尿酸,19.35
2024-02-21,002657,Sora AI视频,4.73
2024-02-21,603825,Sora AI视频,10.02
2024-02-22,300188,AI文生视频,-5.69
2024-02-22,301318,ISP,16.01
2024-02-22,603189,Sora AI视频,-0.76
2024-02-23,000595,宁夏,5.02
2024-02-23,000862,宁夏,-5.49
2024-02-23,002194,通信基站,-1.38
2024-02-23,300612,Sora AI视频,-4.8
2024-02-23,300781,AI文生视频,-0.96
2024-02-23,600165,宁夏,-3.14
2024-02-26,000595,宁夏,0.42
2024-02-26,603598,短视频,2.27
2024-02-26,603729,短视频,5.88
2024-02-26,603803,光通信设备,-3.41
2024-02-26,603825,AI文生视频,7.53
2024-02-27,002771,云视频,-14.77
2024-02-27,002929,AI文生视频,-7.44
2024-02-28,000635,宁夏,5.34
2024-02-28,603825,Sora AI视频,-14.01
2024-02-29,000938,网络切片,11.39
2024-02-29,002049,超级计算机,1.21
2024-02-29,603009,丝杠,0.0
2024-03-01,000938,网络切片,0.2
2024-03-01,000977,超级计算机,-2.33
2024-03-01,002281,光通信设备,5.52
2024-03-04,002281,光通信设备,-1.84
2024-03-04,300757,网络切片,-1.35
2024-03-04,600818,单车,4.54
2024-03-05,002369,GPU,0.59
2024-03-05,600818,共享单车,5.13
2024-03-08,002156,GPU,2.37
2024-03-08,002463,台湾,0.33
2024-03-08,002916,扇出型封装,-0.46
2024-03-08,601138,台湾,6.67
2024-03-08,603580,台湾,28.49
2024-03-11,002407,熔喷布,-2.86
2024-03-11,002741,台湾,-2.87
2024-03-11,600819,低辐射玻璃(Low-E),-8.29
2024-03-11,603580,台湾,10.87
2024-03-13,000509,园林开发,0.0
2024-03-14,600241,锂电制造,-3.72
2024-03-15,002310,园林开发,-1.14
2024-03-15,002931,园林开发,0.98
2024-03-18,002196,新能源物流车,10.24
2024-03-18,301049,汽车拆解,-2.24
2024-03-18,600006,新能源物流车,-4.67
2024-03-18,601388,汽车拆解,1.0
2024-03-18,603316,园林开发,-4.58
2024-03-19,002196,新能源物流车,-3.83
2024-03-19,002355,北汽新能源,0.6
2024-03-20,600006,新能源物流车,-0.11
2024-03-20,603023,汽车黑匣子EDR,3.99
2024-03-20,603598,短视频,-6.78
2024-03-20,603721,短视频,1.78
2024-03-21,603023,汽车黑匣子EDR,-8.1
2024-03-22,000719,数据交易中心,-11.94
2024-03-22,300133,Kimi,-6.8
2024-03-22,300442,Kimi,-6.76
2024-03-22,603721,Kimi,-13.95
2024-03-22,603825,数据交易中心,-12.12
2024-03-25,600577,铜缆高速连接,0.19
2024-03-26,603256,玻纤,-22.46
2024-03-27,603721,Kimi,7.87
2024-03-28,600165,沪警示板,-26.45
2024-03-28,603389,沪警示板,-16.79
2024-03-28,603810,筹码集中,-0.37
2024-03-29,600200,沪警示板,1.49
2024-03-29,603085,空客,-5.91
2024-03-29,603843,沪警示板,11.01
2024-04-01,002324,5.5G,-0.46
2024-04-01,603843,昨日连板,14.45
2024-04-02,002748,昨日连板,-11.61
2024-04-02,603843,昨日连板,-13.61
2024-04-03,002023,毫米波通信,-7.11
2024-04-09,603900,黄金股,10.33
2024-04-10,603663,有色锆,-9.63
2024-04-11,000506,黄金股,0.65
2024-04-12,000506,有色锆,-9.94
2024-04-12,000603,黄金股,-4.87
2024-04-12,002102,黄金股,-5.49
2024-04-12,002574,黄金股,-12.11
2024-04-12,002716,黄金股,-1.82
2024-04-12,300945,黄金股,1.99
2024-04-12,600490,黄金股,-5.11
2024-04-16,603860,公路建设,-1.1
2024-04-17,000528,工程机械,-4.47
2024-04-17,603860,公路建设,19.65
2024-04-18,002073,山东自贸区,-5.61
2024-04-18,600262,挖掘机,-15.52
2024-04-22,002278,深地经济,-16.93
2024-04-23,002883,设计咨询,5.4
2024-04-23,300338,教育培训,-2.93
2024-04-23,301136,设计咨询,-0.97
2024-04-23,301167,设计咨询,-4.04
2024-04-23,301199,设计咨询,-8.04
2024-04-24,603017,设计咨询,10.03
2024-04-26,600727,钛白粉,13.78
2024-04-29,600727,钛白粉,0.52
2024-04-30,600480,雄安地产,2.8
2024-05-06,000608,租售同权,-3.0
2024-05-07,002305,租售同权,-10.19
2024-05-07,002838,钛白粉,-3.9
2024-05-07,601155,住房租赁,-3.22
2024-05-08,000422,液氯,-1.67
2024-05-10,300511,干细胞,-8.48
2024-05-13,603182,大豆,-24.28
2024-05-14,002166,登革热,-1.73
2024-05-15,002481,海底捞,0.39
2024-05-15,300268,海底捞,7.14
2024-05-17,000031,住房租赁,-5.56
2024-05-17,002208,住房租赁,-1.53
2024-05-17,002244,住房租赁,-1.5
2024-05-17,002285,住房租赁,-0.86
2024-05-17,002305,租售同权,-4.39
2024-05-17,600048,住房租赁,-1.52
2024-05-17,600325,住房租赁,-3.51
2024-05-17,600376,住房租赁,-1.6
2024-05-17,600383,住房租赁,2.85
2024-05-17,600606,住房租赁,-5.43
2024-05-17,600649,租售同权,7.38
2024-05-17,600683,房屋租赁,-1.8
2024-05-20,002962,玻璃基板封装,7.82
2024-05-20,300162,玻璃基板封装,25.63
2024-05-20,600649,租售同权,-0.61
2024-05-21,688559,玻璃基板封装,4.12
2024-05-22,000560,住房租赁,-3.58
2024-05-22,002851,玻璃基板封装,-1.64
2024-05-22,300162,玻璃基板封装,-1.89
2024-05-24,600149,雄安地产,1.16
2024-05-27,600719,供气,11.13
2024-05-29,002155,有色锑,-9.09
2024-05-29,600301,有色锑,-9.95
2024-05-29,601020,有色锑,-11.02
2024-05-29,603778,硅能源,-5.36
2024-05-30,000862,电热供应,-4.24
2024-05-31,000037,电热供应,-1.1
2024-06-06,003008,直流输电,-4.4
2024-06-06,301041,直流输电,-17.99
2024-06-06,603530,直流输电,-1.59
2024-06-07,002338,太空互联网,2.01
2024-06-07,003008,柔性直流输电,-10.51
2024-06-11,300046,直流输电,12.61
2024-06-12,001298,DRAM（内存）,6.0
2024-06-14,603863,彩票,-4.26
2024-06-18,002943,单晶硅,-5.54
2024-06-19,600345,光通信设备,-11.94
2024-06-21,002593,胎压监测,-6.19
2024-06-21,603843,昨日连板,-6.34
2024-06-24,605178,昨日连板,12.76
2024-06-25,002717,昨日连板,5.68
2024-06-25,300266,林业碳汇,-9.56
2024-06-25,605178,昨日连板,-3.6
2024-06-26,605178,昨日连板,7.67
2024-06-27,603825,AI文生视频,-14.84
2024-07-01,002657,Sora AI视频,-2.17
2024-07-02,002717,环球主题公园,10.19
2024-07-05,002995,财税改革,-2.99
2024-07-05,300245,财税改革,-0.71
2024-07-05,600476,RPA,-24.57
2024-07-09,002388,商业保理,0.0
2024-07-09,601777,商业保理,-2.08
2024-07-11,600711,商业保理,0.74
2024-07-11,601777,商业保理,-2.59
2024-07-16,600611,二手车,-1.88
2024-07-17,000421,汽车销售,-5.48
2024-07-17,600650,汽车销售,-3.06
2024-07-17,600822,二手车,-2.39
2024-07-17,605178,昨日连板,-6.07
2024-07-18,000572,汽车整车,0.94
2024-07-18,300807,网约车,-8.32
2024-07-18,600561,网约车,-1.56
2024-07-18,600611,二手车,5.85
2024-07-18,600841,汽车整车,3.66
2024-07-19,600171,超级计算机,2.33
2024-07-19,600243,青海,-7.91
2024-07-19,603232,昨日连板,6.99
2024-07-22,300240,网约车,9.95
2024-07-22,600611,网约车,8.22
2024-07-22,600650,汽车销售,-8.42
2024-07-22,603843,昨日连板,-1.98
2024-07-24,600272,医疗耗材供应链SPD,-6.47
2024-07-24,600869,青海,1.54
2024-07-24,603716,DRGDIP,3.24
2024-07-26,600243,青海,-1.19
2024-07-26,600686,无人物流车,4.73
2024-07-29,000868,汽车整车,-2.71
2024-07-29,000957,汽车整车,-5.21
2024-07-29,301070,无人物流车,-4.92
2024-07-29,600686,无人物流车,7.94
2024-07-29,600841,汽车整车,-8.94
2024-07-29,603716,DRGDIP,1.84
2024-07-30,000421,汽车销售,-9.18
2024-07-30,000550,汽车整车,5.9
2024-07-30,600611,二手车,-7.61
2024-07-30,600650,汽车销售,-21.4
2024-07-30,600686,汽车整车,-6.16
2024-07-30,603716,DRGDIP,2.71
2024-07-31,000980,汽车整车,11.92
2024-07-31,002009,汽车拆解,0.17
2024-07-31,002196,新能源物流车,-6.48
2024-07-31,002682,汽车整车,-1.81
2024-07-31,603069,汽车销售,0.53
2024-08-01,000572,汽车整车,-9.78
2024-08-01,000868,汽车整车,-5.74
2024-08-01,000880,发电机,-14.72
2024-08-01,000980,汽车整车,11.24
2024-08-01,001696,发电机,6.07
2024-08-01,002418,汽车整车,-7.37
2024-08-01,600386,汽车销售,8.22
2024-08-01,600561,网约车,4.13
2024-08-01,603988,发电机,-13.6
2024-08-02,000757,二手车,-7.06
2024-08-02,000980,新能源整车,17.02
2024-08-02,600386,汽车销售,-19.81
2024-08-02,600561,网约车,13.15
2024-08-05,000901,太空互联网,-2.31
2024-08-05,000980,汽车整车,-25.0
2024-08-05,002416,汽车销售,-8.54
2024-08-05,600561,网约车,-14.81
2024-08-05,600611,二手车,-8.84
2024-08-05,603390,网约车,-5.18
2024-08-06,600343,太空互联网,15.23
2024-08-06,603390,网约车,-9.98
2024-08-08,300615,基站射频,16.1
2024-08-09,300615,基站射频,-21.87
2024-08-09,600151,航天系,-9.43
2024-08-14,600105,光纤光缆,4.17
2024-08-14,600151,航天系,7.65
2024-08-19,000810,王者荣耀,-9.71
2024-08-21,002577,王者荣耀,-6.57
2024-08-23,600839,互联网电视,-3.03
2024-08-26,000810,互联网电视,-5.92
2024-08-26,002205,喀什规划区,0.46
2024-08-26,300106,喀什规划区,9.24
2024-08-26,600506,喀什规划区,-1.04
2024-08-29,600552,中国建材集团,12.28
2024-08-30,600552,中国建材集团,2.27
2024-09-03,000062,MLCC,7.97
2024-09-05,002383,单车,-12.45
2024-09-05,301017,零售药店,-12.85
2024-09-05,600829,零售药店,-6.79
2024-09-05,605266,零售药店,-8.03
2024-09-06,002036,3D感应,6.36
2024-09-06,600148,军工混改,12.07
2024-09-09,600148,中兵系,-16.66
2024-09-09,600550,中兵系,-17.31
2024-09-09,600698,中兵系,-11.39
2024-09-10,300134,3D建模,6.31
2024-09-10,603189,3D建模,-4.31
2024-09-11,300510,锂电隔膜,8.18
2024-09-12,002717,昨日连板,11.51
2024-09-13,600550,中兵系,-4.34
2024-09-18,000158,业绩爆雷,11.87
2024-09-18,600658,园区开发,10.5
2024-09-19,000505,海南,-1.64
2024-09-19,600658,园区开发,1.25
2024-09-20,000158,业绩爆雷,3.05
2024-09-20,000564,海南自贸区,-1.11
2024-09-23,600696,p2p,1.0
2024-09-24,000995,葡萄酒,-5.88
2024-09-24,300085,华为HMS,2.0
2024-09-24,300561,金融机具,-2.1
2024-09-24,600881,葡萄酒,2.82
2024-09-25,000158,华为HMS,-3.49
2024-09-25,300561,金融机具,11.32
2024-09-26,000995,葡萄酒,9.9
2024-09-26,002646,葡萄酒,8.6
2024-09-26,300085,金融机具,28.72
2024-09-26,600830,其他金融,4.35
2024-09-26,600881,葡萄酒,9.88
2024-09-27,000560,住房租赁,9.89
2024-09-27,000568,春节,10.0
2024-09-27,000858,春节,14.58
2024-09-27,002146,雄安地产,10.11
2024-09-27,002285,住房租赁,10.11
2024-09-27,002423,其他金融,10.02
2024-09-27,300033,其他金融,23.39
2024-09-27,300803,其他金融,20.01
2024-09-27,600048,住房租赁,9.97
2024-09-27,600199,春节,10.29
2024-09-27,600340,雄安地产,10.74
2024-09-27,600376,住房租赁,10.09
2024-09-27,600622,住房租赁,10.11
2024-09-27,600649,租售同权,7.09
2024-09-27,600809,春节,11.47
2024-09-27,601155,住房租赁,10.03
2024-09-27,601519,其他金融,10.05
2024-09-27,601888,春节,10.03
2024-09-30,000007,房屋租赁,-2.55
2024-09-30,000031,住房租赁,-8.92
2024-09-30,000036,房屋租赁,-5.01
2024-09-30,000415,其他金融,-6.91
2024-09-30,000563,其他金融,-7.54
2024-09-30,000567,其他金融,-5.39
2024-09-30,000858,春节,-10.49
2024-09-30,002377,住房租赁,-6.38
2024-09-30,002647,其他金融,4.45
2024-09-30,300033,其他金融,-5.16
2024-09-30,300295,房屋租赁,-6.93
2024-09-30,300746,房屋租赁,-4.76
2024-09-30,300803,其他金融,2.25
2024-09-30,600120,其他金融,-5.27
2024-09-30,600155,其他金融,-4.0
2024-09-30,600170,住房租赁,-9.63
2024-09-30,600199,春节,-8.58
2024-09-30,600221,春节,-9.86
2024-09-30,600318,其他金融,-6.93
2024-09-30,600376,住房租赁,-16.67
2024-09-30,600600,春节,-10.07
2024-09-30,600604,住房租赁,-9.27
2024-09-30,600643,其他金融,-7.62
2024-09-30,600809,春节,-6.55
2024-09-30,600816,其他金融,-1.39
2024-09-30,601888,春节,-5.79
2024-09-30,603300,其他金融,-8.43
2024-10-08,600830,其他金融,-1.42
2024-10-11,601995,券商,-7.14
2024-10-14,000563,其他金融,-7.84
2024-10-14,603893,国家大基金持股,-0.82
2024-10-16,002285,债转股AMC,-12.54
2024-10-16,002457,基建工程,-18.71
2024-10-16,002480,基建工程,-8.69
2024-10-16,300085,区块链储备,-8.22
2024-10-16,300348,债转股AMC,13.68
2024-10-16,300865,基建工程,-10.53
2024-10-16,600622,债转股AMC,-5.91
2024-10-16,600657,债转股AMC,-11.45
2024-10-16,600797,基建工程,6.18
2024-10-16,603106,区块链储备,-9.44
2024-10-16,605122,基建工程,-3.85
2024-10-16,605287,基建工程,-9.25
2024-10-17,002094,债转股AMC,-0.51
2024-10-17,601107,四川国企改革,-0.7
2024-10-18,000510,债转股AMC,-2.5
2024-10-18,002542,四川国企改革,13.0
2024-10-18,600318,债转股AMC,-2.28
2024-10-18,600622,债转股AMC,-9.2
2024-10-18,600939,成渝城市群,-4.55
2024-10-21,002094,债转股AMC,11.7
2024-10-21,002542,四川国企改革,9.92
2024-10-21,002628,成渝城市群,12.68
2024-10-22,002628,成渝城市群,9.96
2024-10-23,002272,成渝特区,10.36
2024-10-23,002312,四川国企改革,-8.47
2024-10-23,600391,成渝特区,-7.99
2024-10-23,600839,互联网电视,-1.76
2024-10-24,002725,光通信设备,9.36
2024-10-25,000021,3D感应,5.0
2024-10-25,002366,节能电机,6.85
2024-10-25,300102,3D感应,3.58
2024-10-25,600438,业绩爆雷,5.59
2024-10-25,601012,业绩爆雷,-1.82
2024-10-25,601727,节能电机,14.01
2024-10-28,000158,业绩爆雷,8.55
2024-10-28,002865,业绩爆雷,-6.73
2024-10-28,600839,互联网电视,2.79
2024-10-29,000066,tmt,15.25
2024-10-30,000021,tmt,0.83
2024-10-30,000066,tmt,4.66
2024-10-30,000592,昨日连板,-1.57
2024-10-30,002717,昨日连板,11.2
2024-10-30,300338,教育培训,11.32
2024-10-30,600060,tmt,-0.05
2024-10-30,600636,教育培训,-3.76
2024-10-30,600839,tmt,6.92
2024-10-30,603773,业绩爆雷,-6.57
2024-10-31,000100,QLED,-14.07
2024-10-31,000638,昨日连板,-2.03
2024-10-31,000839,中概股回归,-11.61
2024-10-31,002512,昨日连板,-9.64
2024-10-31,002865,业绩爆雷,-3.7
2024-10-31,601360,中概股回归,-9.0
2024-10-31,603666,业绩爆雷,15.22
2024-11-04,000158,业绩爆雷,-8.7
2024-11-04,603666,业绩爆雷,9.99
2024-11-05,000970,稀土磁材,0.43
2024-11-05,300127,稀土磁材,24.15
2024-11-05,600010,稀土磁材,5.0
2024-11-05,600193,稀土磁材,7.69
2024-11-06,000566,海南,25.22
2024-11-06,000572,海南,-6.38
2024-11-06,000793,海南,20.0
2024-11-06,300127,稀土磁材,-5.24
2024-11-06,300189,海南,-0.71
2024-11-06,600193,稀土磁材,11.43
2024-11-06,600637,互联网电视,-2.35
2024-11-07,000566,海南,-15.35
2024-11-07,000793,海南,-0.91
2024-11-07,002163,海南,-7.01
2024-11-07,600221,海南,-9.75
2024-11-08,000793,海南,-6.42
2024-11-08,000795,稀土磁材,3.7
2024-11-11,000988,引力波,-5.73
2024-11-13,600654,消防装备,1.18
2024-11-14,600654,消防装备,20.47
2024-11-15,000880,发电机,-0.98
2024-11-15,600654,消防装备,5.98
2024-11-15,600822,二手车,4.25
2024-11-18,002530,AI助理,-3.33
2024-11-18,002717,广告营销,-1.74
2024-11-20,002657,AI助理,-8.77
2024-11-20,002757,AI助理,-7.93
2024-11-20,002878,AI助理,3.03
2024-11-20,300840,AI助理,-19.25
2024-11-20,600206,芯片材料,-3.35
2024-11-20,600343,航天科技集团,-0.81
2024-11-20,603698,航天科技集团,-7.11
2024-11-21,002103,广告营销,18.44
2024-11-21,002127,广告营销,0.47
2024-11-21,002161,环球主题公园,-6.17
2024-11-21,002792,基站射频,-5.09
2024-11-21,002878,广告营销,-3.28
2024-11-21,601360,广告营销,9.85
2024-11-22,000801,黑色家电,5.04
2024-11-22,002045,黑色家电,0.09
2024-11-22,002103,广告营销,10.0
2024-11-22,002131,广告营销,18.05
2024-11-22,002820,抖音小店,15.74
2024-11-25,000801,黑色家电,-11.43
2024-11-25,002045,黑色家电,-10.93
2024-11-25,002292,玩具,-7.91
2024-11-25,002640,SDR,-16.86
